officename,pincode,officetype,deliverystatus,divisionname,regionname,circlename,taluk,districtname,statename,telephone,relatedsuboffice,relatedheadoffice,discom
Kankather B.O,244235,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Dhanaura,jyotiba phule nagar,UTTAR PRADESH,,Gajraula S.O,Amroha H.O,PVVNL
Kanth S.O,244501,S.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Moradabad,moradabad,UTTAR PRADESH,0591-2221636,,Amroha H.O,PVVNL
Kapsua B.O,244231,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Dhanaura,jyotiba phule nagar,UTTAR PRADESH,,Dhanaura S.O,Amroha H.O,PVVNL
Karaundi B.O,244236,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Amroha,jyotiba phule nagar,UTTAR PRADESH,,Rajab Pur S.O,Amroha H.O,PVVNL
Kasanpur Gaonri B.O,244601,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Thakurdwara,moradabad,UTTAR PRADESH,,Thakurdwara S.O,Moradabad H.O,PVVNL
Kasauli B.O,244302,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Sambhal,moradabad,UTTAR PRADESH,,Sambhal S.O,Moradabad H.O,PVVNL
Kashipur B.O,244927,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Rampur,rampur,UTTAR PRADESH,,Said Nagar S.O,Rampur H.O,PVVNL
Katghar S.O (Moradabad),244001,S.O,Non-Delivery,Moradabad,Bareilly,Uttar Pradesh,Moradabad,moradabad,UTTAR PRADESH,0591-2490371,,Moradabad H.O,PVVNL
Kauralla B.O,244231,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Dhanaura,jyotiba phule nagar,UTTAR PRADESH,,Dhanaura S.O,Amroha H.O,PVVNL
Kaushal Ganj B.O,244923,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Bilaspur,rampur,UTTAR PRADESH,,Bilaspur Chini Mill S.O,Rampur H.O,PVVNL
Kemri S.O (Rampur),244928,S.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Bilaspur,rampur,UTTAR PRADESH,0595-2450026,,Rampur H.O,PVVNL
Keorar B.O,244701,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Milak,rampur,UTTAR PRADESH,,Milak S.O,Rampur H.O,PVVNL
Kerenthi B.O,244922,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Shahabad,rampur,UTTAR PRADESH,,Shahabad S.O (Rampur),Rampur H.O,PVVNL
Khadgujar B.O,244235,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Dhanaura,jyotiba phule nagar,UTTAR PRADESH,,Gajraula S.O,Amroha H.O,PVVNL
Khajuri B.O,244236,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Hasanpur,jyotiba phule nagar,UTTAR PRADESH,,Rajab Pur S.O,Amroha H.O,PVVNL
Khamaria B.O,244701,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Milak,rampur,UTTAR PRADESH,,Milak S.O,Rampur H.O,PVVNL
Khandia B.O,244921,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Bilaspur,rampur,UTTAR PRADESH,,Bilaspur (Rampur) S.O,Rampur H.O,PVVNL
Kharsol B.O,244411,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Bilari,moradabad,UTTAR PRADESH,,Bilari S.O,Moradabad H.O,PVVNL
Khaspur B.O,244102,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Moradabad,moradabad,UTTAR PRADESH,,Pakbara S.O,Amroha H.O,PVVNL
Khawajpur B.O,244601,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Thakurdwara,moradabad,UTTAR PRADESH,,Thakurdwara S.O,Moradabad H.O,PVVNL
Khawari Awwal B.O,244411,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Bilari,moradabad,UTTAR PRADESH,,Bilari S.O,Moradabad H.O,PVVNL
Khempur B.O,244921,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Bilaspur,rampur,UTTAR PRADESH,,Bilaspur (Rampur) S.O,Rampur H.O,PVVNL
Khempur B.O,244924,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Suar,rampur,UTTAR PRADESH,,Suar S.O,Rampur H.O,PVVNL
Khera Apraula B.O,244251,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Amroha,jyotiba phule nagar,UTTAR PRADESH,,Nawgawan S.O,Amroha H.O,PVVNL
Khod B.O,244927,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Rampur,rampur,UTTAR PRADESH,,Said Nagar S.O,Rampur H.O,PVVNL
Khod Sharif B.O,244924,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Suar,rampur,UTTAR PRADESH,,Suar S.O,Rampur H.O,PVVNL
Khurgh Fetehgarh B.O,244411,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Bilari,moradabad,UTTAR PRADESH,,Bilari S.O,Moradabad H.O,PVVNL
Khusro Bagh B.O,244901,B.O directly a/w Head Office,Delivery,Moradabad,Bareilly,Uttar Pradesh,Rampur,rampur,UTTAR PRADESH,,,Rampur H.O,PVVNL
Kira B.O,244901,B.O directly a/w Head Office,Delivery,Moradabad,Bareilly,Uttar Pradesh,Rampur,rampur,UTTAR PRADESH,,,Rampur H.O,PVVNL
Kiramcha B.O,244701,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Milak,rampur,UTTAR PRADESH,,Milak S.O,Rampur H.O,PVVNL
Koila B.O,244901,B.O directly a/w Head Office,Delivery,Moradabad,Bareilly,Uttar Pradesh,Rampur,rampur,UTTAR PRADESH,,,Rampur H.O,PVVNL
Koop B.O,244701,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Milak,rampur,UTTAR PRADESH,,Milak S.O,Rampur H.O,PVVNL
Kothi Khidmatpur B.O,244501,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Amroha,jyotiba phule nagar,UTTAR PRADESH,,Kanth S.O,Amroha H.O,PVVNL
Kuchawali B.O,244504,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Moradabad,moradabad,UTTAR PRADESH,,Aghwanpur S.O,Moradabad H.O,PVVNL
Kundan Nagar S.O,244245,S.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Amroha,jyotiba phule nagar,UTTAR PRADESH,05922-251214,,Amroha H.O,PVVNL
Kundarki Bhoor B.O,244242,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Hasanpur,jyotiba phule nagar,UTTAR PRADESH,,Ujhari S.O,Amroha H.O,PVVNL
Kundarki S.O,244413,S.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Bilari,moradabad,UTTAR PRADESH,0591-222221,,Moradabad H.O,PVVNL
Kunwarpur B.O,244924,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Suar,rampur,UTTAR PRADESH,,Suar S.O,Rampur H.O,PVVNL
Kuri Rawana B.O,244501,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Amroha,jyotiba phule nagar,UTTAR PRADESH,,Kanth S.O,Amroha H.O,PVVNL
Ladanpur B.O,244231,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Dhanaura,jyotiba phule nagar,UTTAR PRADESH,,Dhanaura S.O,Amroha H.O,PVVNL
Ladawali B.O,244504,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Moradabad,moradabad,UTTAR PRADESH,,Aghwanpur S.O,Moradabad H.O,PVVNL
Lakarhat B.O,244501,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Amroha,jyotiba phule nagar,UTTAR PRADESH,,Kanth S.O,Amroha H.O,PVVNL
Lakhauri Jalalpur B.O,244302,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Sambhal,moradabad,UTTAR PRADESH,,Sambhal S.O,Moradabad H.O,PVVNL
Lakri Fazalpur B.O,244001,B.O directly a/w Head Office,Delivery,Moradabad,Bareilly,Uttar Pradesh,Moradabad,moradabad,UTTAR PRADESH,,,Moradabad H.O,PVVNL
Laloowala B.O,244402,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Moradabad,moradabad,UTTAR PRADESH,,Pipalsana R.S. S.O,Moradabad H.O,PVVNL
Lalpur Kalan B.O,244927,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Rampur,rampur,UTTAR PRADESH,,Said Nagar S.O,Rampur H.O,PVVNL
Lambakhera B.O,244925,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Suar,rampur,UTTAR PRADESH,,Tanda Badli S.O,Rampur H.O,PVVNL
Loha B.O,244701,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Milak ,rampur,UTTAR PRADESH,,Milak S.O,Rampur H.O,PVVNL
Lohari Bhoor B.O,244242,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Hasanpur,jyotiba phule nagar,UTTAR PRADESH,,Ujhari S.O,Amroha H.O,PVVNL
Longi Kalan B.O,244601,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Thakurdwara,moradabad,UTTAR PRADESH,,Thakurdwara S.O,Moradabad H.O,PVVNL
M. B. Hasanpur S.O,244241,S.O,Non-Delivery,Moradabad,Bareilly,Uttar Pradesh,Hasanpur,jyotiba phule nagar,UTTAR PRADESH,,,Amroha H.O,PVVNL
M.B.Rampur S.O,244901,S.O,Non-Delivery,Moradabad,Bareilly,Uttar Pradesh,Rampur,rampur,UTTAR PRADESH,0595-2350066,,Rampur H.O,PVVNL
Macharria B.O,244001,B.O directly a/w Head Office,Delivery,Moradabad,Bareilly,Uttar Pradesh,Moradabad,moradabad,UTTAR PRADESH,,,Moradabad H.O,PVVNL
Madala Fatehpur B.O,244304,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Sambhal,moradabad,UTTAR PRADESH,,Asmoli S.O,Amroha H.O,PVVNL
Madhan B.O,244102,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Moradabad,moradabad,UTTAR PRADESH,,Pakbara S.O,Amroha H.O,PVVNL
Madhauli B.O,244901,B.O directly a/w Head Office,Delivery,Moradabad,Bareilly,Uttar Pradesh,Rampur,rampur,UTTAR PRADESH,,,Rampur H.O,PVVNL
Madhpur B.O,244501,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Amroha,jyotiba phule nagar,UTTAR PRADESH,,Kanth S.O,Amroha H.O,PVVNL
Madhukar B.O,244922,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Shahabad,rampur,UTTAR PRADESH,,Shahabad S.O (Rampur),Rampur H.O,PVVNL
Maheshra B.O,244236,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Dhanaura,jyotiba phule nagar,UTTAR PRADESH,,Rajab Pur S.O,Amroha H.O,PVVNL
Mahmoodpur B.O,244301,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Sambhal,moradabad,UTTAR PRADESH,,Sirsi S.O (Moradabad),Moradabad H.O,PVVNL
Mahu Nagar B.O,244901,B.O directly a/w Head Office,Delivery,Moradabad,Bareilly,Uttar Pradesh,Rampur,rampur,UTTAR PRADESH,,,Rampur H.O,PVVNL
Mai B.O,244412,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Chandausi,moradabad,UTTAR PRADESH,,Chandausi S.O,Moradabad H.O,PVVNL
Mainather B.O,244301,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Sambhal,moradabad,UTTAR PRADESH,,Sirsi S.O (Moradabad),Moradabad H.O,PVVNL
Majhola B.O,244410,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Chandausi,moradabad,UTTAR PRADESH,,Bahjoi S.O,Moradabad H.O,PVVNL
Majhola Khas B.O,244413,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Balari,moradabad,UTTAR PRADESH,,Kundarki S.O,Moradabad H.O,PVVNL
Majhola S.O (Moradabad),244103,S.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Moradabad,moradabad,UTTAR PRADESH,0591-2480971,,Moradabad H.O,PVVNL
Makhdoompur B.O,244251,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Amroha,jyotiba phule nagar,UTTAR PRADESH,,Nawgawan S.O,Amroha H.O,PVVNL
Malakpursemli B.O,244401,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Thakurdwara,moradabad,UTTAR PRADESH,,Dilari S.O,Moradabad H.O,PVVNL
Mandi Naj S.O,244001,S.O,Non-Delivery,Moradabad,Bareilly,Uttar Pradesh,Moradabad,moradabad,UTTAR PRADESH,0591-2326085,,Moradabad H.O,PVVNL
Mangoopura B.O,244411,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Bilari,moradabad,UTTAR PRADESH,,Bilari S.O,Moradabad H.O,PVVNL
Mangraula B.O,244241,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Hasanpur,jyotiba phule nagar,UTTAR PRADESH,,Hasanpur S.O (Jyotiba Phule Nagar),Amroha H.O,PVVNL
Mankara B.O,244701,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Kilak,rampur,UTTAR PRADESH,,Milak S.O,Rampur H.O,PVVNL
Manota B.O,244304,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Sambhal,moradabad,UTTAR PRADESH,,Asmoli S.O,Amroha H.O,PVVNL
Manpur B.O,244925,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Suar,rampur,UTTAR PRADESH,,Tanda Badli S.O,Rampur H.O,PVVNL
Manpur B.O,244924,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Suar,rampur,UTTAR PRADESH,,Suar S.O,Rampur H.O,PVVNL
Maswasi B.O,244924,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Suar,rampur,UTTAR PRADESH,,Suar S.O,Rampur H.O,PVVNL
Mathuraour B.O,244901,B.O directly a/w Head Office,Delivery,Moradabad,Bareilly,Uttar Pradesh,Rampur,rampur,UTTAR PRADESH,,,Rampur H.O,PVVNL
Matkhera B.O,244921,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Bilaspur,rampur,UTTAR PRADESH,,Bilaspur (Rampur) S.O,Rampur H.O,PVVNL
Matlabpur Sadarpur B.O,244501,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Amroha,jyotiba phule nagar,UTTAR PRADESH,,Kanth S.O,Amroha H.O,PVVNL
Mau Ka Ther B.O,244410,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Chandausi,moradabad,UTTAR PRADESH,,Bahjoi S.O,Moradabad H.O,PVVNL
Maulagarh B.O,244412,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Chandausi,moradabad,UTTAR PRADESH,,Chandausi S.O,Moradabad H.O,PVVNL
Meerapur Meerganj B.O,244924,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Suar,rampur,UTTAR PRADESH,,Suar S.O,Rampur H.O,PVVNL
Meston Ganj S.O,244901,S.O,Non-Delivery,Moradabad,Bareilly,Uttar Pradesh,Rampur,rampur,UTTAR PRADESH,0595-2324076,,Rampur H.O,PVVNL
Mewla Kalan B.O,244925,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Moradabad,moradabad,UTTAR PRADESH,,Tanda Badli S.O,Rampur H.O,PVVNL
Mian Sarai B.O,244302,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Sambhal,moradabad,UTTAR PRADESH,,Sambhal S.O,Moradabad H.O,PVVNL
Milak Khanam B.O,244921,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Builaspur,rampur,UTTAR PRADESH,,Bilaspur (Rampur) S.O,Rampur H.O,PVVNL
Milak S.O,244701,S.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Rampur,rampur,UTTAR PRADESH,05960-224125,,Rampur H.O,PVVNL
Modha B.O,244504,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Moradabad,moradabad,UTTAR PRADESH,,Aghwanpur S.O,Moradabad H.O,PVVNL
Modhpur Wabai B.O,244414,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Chandausi,moradabad,UTTAR PRADESH,,Narauly S.O,Moradabad H.O,PVVNL
Modipur S.O,244926,S.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Rampur,rampur,UTTAR PRADESH,,,Rampur H.O,PVVNL
Mohd. Ganj B.O,244412,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Chandausi,moradabad,UTTAR PRADESH,,Chandausi S.O,Moradabad H.O,PVVNL
Mohd. Pur Tanda B.O,244302,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Sambhal,moradabad,UTTAR PRADESH,,Sambhal S.O,Moradabad H.O,PVVNL
Mohd. Sadikpur B.O,244414,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Chandausi,moradabad,UTTAR PRADESH,,Narauly S.O,Moradabad H.O,PVVNL
Mohd.Pur Mafi B.O,244501,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Amroha,jyotiba phule nagar,UTTAR PRADESH,,Kanth S.O,Amroha H.O,PVVNL
Mohra Lakhupura B.O,244302,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Sambhal,moradabad,UTTAR PRADESH,,Sambhal S.O,Moradabad H.O,PVVNL
Moradabad City S.O,244001,S.O,Non-Delivery,Moradabad,Bareilly,Uttar Pradesh,Moradabad,moradabad,UTTAR PRADESH,0591-2325804,,Moradabad H.O,PVVNL
Moradabad H.O,244001,H.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Moradabad,moradabad,UTTAR PRADESH,0591-2415639,,,PVVNL
Moradabad Kutchery S.O,244001,S.O,Non-Delivery,Moradabad,Bareilly,Uttar Pradesh,Moradabad,moradabad,UTTAR PRADESH,0591-2412578,,Moradabad H.O,PVVNL
Moradabad R.S. S.O,244001,S.O,Non-Delivery,Moradabad,Bareilly,Uttar Pradesh,Moradabad,moradabad,UTTAR PRADESH,0591-2413060,,Moradabad H.O,PVVNL
Mughal Pura B.O,244001,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Moradabad,moradabad,UTTAR PRADESH,,Moradabad City S.O,Moradabad H.O,PVVNL
Mukarrabpur B.O,244001,B.O directly a/w Head Office,Delivery,Moradabad,Bareilly,Uttar Pradesh,Moradabad,moradabad,UTTAR PRADESH,,,Moradabad H.O,PVVNL
Mulhata B.O,244410,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Chandausi,moradabad,UTTAR PRADESH,,Bahjoi S.O,Moradabad H.O,PVVNL
Mulla Khera B.O,244921,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Bilaspur,rampur,UTTAR PRADESH,,Bilaspur (Rampur) S.O,Rampur H.O,PVVNL
Mundha Khera B.O,244221,B.O directly a/w Head Office,Delivery,Moradabad,Bareilly,Uttar Pradesh,Amroha,jyotiba phule nagar,UTTAR PRADESH,,,Amroha H.O,PVVNL
Mundha Kheri B.O,244501,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Moradabad,moradabad,UTTAR PRADESH,,Kanth S.O,Amroha H.O,PVVNL
Mundha S.O,244104,S.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Moradabad Thehsil,moradabad,UTTAR PRADESH,,,Moradabad H.O,PVVNL
Mursaina B.O,244927,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Rampur,rampur,UTTAR PRADESH,,Said Nagar S.O,Rampur H.O,PVVNL
Nadhos B.O,244410,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Chandausi,moradabad,UTTAR PRADESH,,Bahjoi S.O,Moradabad H.O,PVVNL
Nagla Purvi B.O,244412,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Chandausi,moradabad,UTTAR PRADESH,,Chandausi S.O,Moradabad H.O,PVVNL
Naglia Aqil B.O,244927,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Rampur,rampur,UTTAR PRADESH,,Said Nagar S.O,Rampur H.O,PVVNL
Nagliamev B.O,244235,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Dhanaura,jyotiba phule nagar,UTTAR PRADESH,,Gajraula S.O,Amroha H.O,PVVNL
Nai Basti S.O (Moradabad),244001,S.O,Non-Delivery,Moradabad,Bareilly,Uttar Pradesh,Moradabad,moradabad,UTTAR PRADESH,0591-2427254,,Moradabad H.O,PVVNL
Nanhera Aliarpur B.O,244221,B.O directly a/w Head Office,Delivery,Moradabad,Bareilly,Uttar Pradesh,Amroha,jyotiba phule nagar,UTTAR PRADESH,,,Amroha H.O,PVVNL
Nanhuwala B.O,244601,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Thakurdwara,moradabad,UTTAR PRADESH,,Thakurdwara S.O,Moradabad H.O,PVVNL
Nanka Rani B.O,244924,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Suar,rampur,UTTAR PRADESH,,Suar S.O,Rampur H.O,PVVNL
Nankar B.O,244901,B.O directly a/w Head Office,Delivery,Moradabad,Bareilly,Uttar Pradesh,Rampur,rampur,UTTAR PRADESH,,,Rampur H.O,PVVNL
Narainpur B.O,244415,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Bilari,moradabad,UTTAR PRADESH,,Raja Ka Sahaspur S.O,Moradabad H.O,PVVNL
Narauly S.O,244414,S.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Sambhal,moradabad,UTTAR PRADESH,05921-246207,,Moradabad H.O,PVVNL
Narkhera B.O,244901,B.O directly a/w Head Office,Delivery,Moradabad,Bareilly,Uttar Pradesh,Rampur,rampur,UTTAR PRADESH,,,Rampur H.O,PVVNL
Nawabganj B.O,244921,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Bilaspur,rampur,UTTAR PRADESH,,Bilaspur (Rampur) S.O,Rampur H.O,PVVNL
Nawabpura S.O,244001,S.O,Non-Delivery,Moradabad,Bareilly,Uttar Pradesh,Moradabad,moradabad,UTTAR PRADESH,0591-2470331,,Moradabad H.O,PVVNL
Nawgawan S.O,244251,S.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Amroha,jyotiba phule nagar,UTTAR PRADESH,05922-223222,,Amroha H.O,PVVNL
Nayamatpur B.O,244301,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Sambhal,moradabad,UTTAR PRADESH,,Sirsi S.O (Moradabad),Moradabad H.O,PVVNL
Nipania B.O,244901,B.O directly a/w Head Office,Delivery,Moradabad,Bareilly,Uttar Pradesh,Rampur,rampur,UTTAR PRADESH,,,Rampur H.O,PVVNL
Noorpur B.O,244001,B.O directly a/w Head Office,Delivery,Moradabad,Bareilly,Uttar Pradesh,Moradabad,moradabad,UTTAR PRADESH,,,Moradabad H.O,PVVNL
Nuria Sarai B.O,244302,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Sambhal,moradabad,UTTAR PRADESH,,Sambhal S.O,Moradabad H.O,PVVNL
Obri B.O,244102,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Sambhal,moradabad,UTTAR PRADESH,,Pakbara S.O,Amroha H.O,PVVNL
Osa Mafi B.O,244242,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Hasanpur,jyotiba phule nagar,UTTAR PRADESH,,Ujhari S.O,Amroha H.O,PVVNL
P.A.C. Moradabad S.O,244001,S.O,Non-Delivery,Moradabad,Bareilly,Uttar Pradesh,Moradabad,moradabad,UTTAR PRADESH,0591-2451059,,Moradabad H.O,PVVNL
P.T.C. Moradabad S.O,244001,S.O,Non-Delivery,Moradabad,Bareilly,Uttar Pradesh,Moradabad,moradabad,UTTAR PRADESH,0591-2435248,,Moradabad H.O,PVVNL
Padia Nagla B.O,244402,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Moradabad,moradabad,UTTAR PRADESH,,Pipalsana R.S. S.O,Moradabad H.O,PVVNL
Paigamberpur B.O,244921,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Bilaspur,rampur,UTTAR PRADESH,,Bilaspur (Rampur) S.O,Rampur H.O,PVVNL
Painti Kalan B.O,244102,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Moradabad,moradabad,UTTAR PRADESH,,Pakbara S.O,Amroha H.O,PVVNL
Pakbara S.O,244102,S.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Moradabad,moradabad,UTTAR PRADESH,0591-2360321,,Amroha H.O,PVVNL
Palaula B.O,244222,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Amroha,jyotiba phule nagar,UTTAR PRADESH,,Joya S.O,Amroha H.O,PVVNL
Panwaria B.O,244923,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Bilaspur,rampur,UTTAR PRADESH,,Bilaspur Chini Mill S.O,Rampur H.O,PVVNL
Papsara B.O,244221,B.O directly a/w Head Office,Delivery,Moradabad,Bareilly,Uttar Pradesh,Amroha,jyotiba phule nagar,UTTAR PRADESH,,,Amroha H.O,PVVNL
Papsari B.O,244231,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Dhanaura,jyotiba phule nagar,UTTAR PRADESH,,Dhanaura S.O,Amroha H.O,PVVNL
Param B.O,244701,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Milak,rampur,UTTAR PRADESH,,Milak S.O,Rampur H.O,PVVNL
Parshupura B.O,244701,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Milak,rampur,UTTAR PRADESH,,Milak S.O,Rampur H.O,PVVNL
Pasiapura B.O,244601,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Thakurdwara,moradabad,UTTAR PRADESH,,Thakurdwara S.O,Moradabad H.O,PVVNL
Patai Bhoor B.O,244241,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Amroha,jyotiba phule nagar,UTTAR PRADESH,,Hasanpur S.O (Jyotiba Phule Nagar),Amroha H.O,PVVNL
Patai Khalsa B.O,244102,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Moradabad,moradabad,UTTAR PRADESH,,Pakbara S.O,Amroha H.O,PVVNL
Pathakpur B.O,244410,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Chandausi,moradabad,UTTAR PRADESH,,Bahjoi S.O,Moradabad H.O,PVVNL
Pathangi B.O,244501,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Amroha,jyotiba phule nagar,UTTAR PRADESH,,Kanth S.O,Amroha H.O,PVVNL
Patti Basantpur B.O,244701,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Milak,rampur,UTTAR PRADESH,,Milak S.O,Rampur H.O,PVVNL
Patwai B.O,244901,B.O directly a/w Head Office,Delivery,Moradabad,Bareilly,Uttar Pradesh,Rampur,rampur,UTTAR PRADESH,,,Rampur H.O,PVVNL
Paurara B.O,244255,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Hasanpur,jyotiba phule nagar,UTTAR PRADESH,,Rehra S.O,Amroha H.O,PVVNL
Pawasa B.O,244302,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Sambhal,moradabad,UTTAR PRADESH,,Sambhal S.O,Moradabad H.O,PVVNL
Phanderi B.O,244231,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Amroha,jyotiba phule nagar,UTTAR PRADESH,,Dhanaura S.O,Amroha H.O,PVVNL
Piagamberpur B.O,244924,B.O,Delivery,Moradabad,Bareilly,Uttar Pradesh,Suar,rampur,UTTAR PRADESH,,Suar S.O,Rampur H.O,PVVNL
